Issue ID,Issue Link,Git URL,Summary,Summary Relevance,Description,Comments
HBASE-505,https://issues.apache.org/jira/browse/HBASE-505,https://github.com/apache/hbase/blob/0.1.1/src/java/org/apache/hadoop/hbase/HStore.java,Region assignments should never time out so long as the region server reports that it is processing the open request,NO,"Currently, when the master assigns a region to a region server, it extends the reassignment timeout when the region server reports that it is processing the open. This only happens once, and so if the region takes a long time to come on line due to a large set of transactions in the redo log or because the initial compaction takes a long time, the master will assign the region to another server when the reassignment timeout occurs.

Assigning a region to multiple region servers can easily corrupt the region. For example:

region server 1 is processing the redo log creating a new mapfile. It takes more than one interval to do so so the master assigns the region to region server 2. region server 2 starts processing the redo log creating essentially the same mapFile as region server 1, but with a different name. 

region server 2 can fail to open the region if region server 1 deletes the old log file or if it tries to open the new mapFile that region server 1 is creating.

region server 1 can fail to open the region if it tries to open the mapFile that region server 2 is creating.

Often region server 1 eventually succeeds and reports to the master that it has finished opening the region, but the master tells it to close that region because it has assigned it to another server. Region server 2 often fails to open the region, because the old log file has been deleted, or it fails to process the new map file created by region server 1.

Proposed solution:

During the open process the region server should send a MSG_PROCESS_OPEN with each heartbeat until the region is opened (when it sends MSG_REGION_OPEN). The master will extend the reassignment timeout with each MSG_PROCESS_OPEN it receives and will not assign the region to another server so long as it continues to receive heart beat messages from the region server processing the open.","** Comment 1 **
Sounds fine as long as the regionserver doesn't just robotically send MSG_PROCESS_OPEN while a region is being opened.  If regionserver gets stuck replaying edits or is hung as we've been seeing from time to time, etc., it shouldn't send MSG_PROCESS_OPEN

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]

** Comment 4 **
Just came across an instance of this.  Here is where we are doing the open:
2008-03-25 19:16:43,720 INFO org.apache.hadoop.hbase.HRegionServer: MSG_REGION_OPEN : enwiki_080103,iLStZ0yTnfVUziYcNVVxWV==,1205393076482
Here is where we failed the open because region was allocated elsewhere even though this is the server that replayed the edits:
2008-03-25 19:19:56,472 ERROR org.apache.hadoop.hbase.HRegionServer: error opening region enwiki_080103,iLStZ0yTnfVUziYcNVVxWV==,1205393076482
It took 3 minutes to replay 60k edits.
RegionServer should send a ping back to the master every 10K edits applied.

** Comment 5 **
[Comment excluded]

** Comment 6 **
[Comment excluded]

** Comment 7 **
[Comment excluded]

** Comment 8 **
[Comment excluded]

** Comment 9 **
[Comment excluded]

** Comment 10 **
[Comment excluded]

** Comment 11 **
[Comment excluded]
"
HBASE-709,https://issues.apache.org/jira/browse/HBASE-709,https://github.com/apache/hbase/blob/0.1.3/src/java/org/apache/hadoop/hbase/HLog.java,Deadlock while rolling WAL-log while finishing flush,NO,"Found this in our cluster:

{code}
Found one Java-level deadlock:
=============================
""IPC Server handler 5 on 60020"":
  waiting for ownable synchronizer 0x00007f5f659d4e90, (a java.util.concurrent.locks.ReentrantLock$NonfairSync),
  which is held by ""regionserver/0:0:0:0:0:0:0:0:60020.cacheFlusher""
""regionserver/0:0:0:0:0:0:0:0:60020.cacheFlusher"":
  waiting to lock monitor 0x00007f5f56312f78 (object 0x00007f5f659d4ec0, a java.lang.Integer),
  which is held by ""IPC Server handler 5 on 60020""

Java stack information for the threads listed above:
===================================================
""IPC Server handler 5 on 60020"":
        at sun.misc.Unsafe.park(Native Method)
        - parking to wait for  <0x00007f5f659d4e90> (a java.util.concurrent.locks.ReentrantLock$NonfairSync)
        at java.util.concurrent.locks.LockSupport.park(Unknown Source)
        at java.util.concurrent.locks.AbstractQueuedSynchronizer.parkAndCheckInterrupt(Unknown Source)
        at java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireQueued(Unknown Source)
        at java.util.concurrent.locks.AbstractQueuedSynchronizer.acquire(Unknown Source)
        at java.util.concurrent.locks.ReentrantLock$NonfairSync.lock(Unknown Source)
        at java.util.concurrent.locks.ReentrantLock.lock(Unknown Source)
        at org.apache.hadoop.hbase.HLog.rollWriter(HLog.java:219)
        at org.apache.hadoop.hbase.HLog.append(HLog.java:390)
        - locked <0x00007f5f659d4ec0> (a java.lang.Integer)
        at org.apache.hadoop.hbase.HRegion.update(HRegion.java:1633)
        at org.apache.hadoop.hbase.HRegion.batchUpdate(HRegion.java:1436)
        at org.apache.hadoop.hbase.HRegionServer.batchUpdate(HRegionServer.java:1552)
        at sun.reflect.GeneratedMethodAccessor9.invoke(Unknown Source)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
        at java.lang.reflect.Method.invoke(Unknown Source)
        at org.apache.hadoop.hbase.ipc.HbaseRPC$Server.call(HbaseRPC.java:413)
        at org.apache.hadoop.ipc.Server$Handler.run(Server.java:901)
""regionserver/0:0:0:0:0:0:0:0:60020.cacheFlusher"":
        at org.apache.hadoop.hbase.HLog.completeCacheFlush(HLog.java:481)
        - waiting to lock <0x00007f5f659d4ec0> (a java.lang.Integer)
        at org.apache.hadoop.hbase.HRegion.internalFlushcache(HRegion.java:1133)
        at org.apache.hadoop.hbase.HRegion.flushcache(HRegion.java:1020)
        at org.apache.hadoop.hbase.HRegionServer$Flusher.flushRegion(HRegionServer.java:446)
        - locked <0x00007f5f659d3ec8> (a java.util.HashSet)
        at org.apache.hadoop.hbase.HRegionServer$Flusher.run(HRegionServer.java:390)

Found 1 deadlock.
{code}","** Comment 1 **
Fix for deadlock.  Removed last-ditch effort that would force roll of log when HDFS issue and then retry append.  The log rolling makes for a deadlock.  Instead, just register a roll of the log and just let out the exception.

** Comment 2 **
Made it blocker because it hangs up the regionserver; regionserver keeps reporting that alls fine so regions do not get deployed elsewhere.

** Comment 3 **
[Comment excluded]

** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]

** Comment 6 **
[Comment excluded]
"
HBASE-737,https://issues.apache.org/jira/browse/HBASE-737,https://github.com/apache/hbase/blob/release-0.2.0/src/test/org/apache/hadoop/hbase/HBaseTestCase.java,Scanner: every cell in a row has the same timestamp,NO,"A row can have multiple cells, and each cell can have a different timestamp.  The get command in the shell demonstrates that cells are being stored with different timestamps:

{code}
hbase(main):008:0> get 'table1', 'row2'  
COLUMN                       CELL 
 fam1:letters                timestamp=1215707612949, value=def 
 fam1:numbers                timestamp=1215707629064, value=123 
 fam2:letters                timestamp=1215711498969, value=abc 
3 row(s) in 0.0100 seconds
{code}

However, using the scanners to retrieve these cells shows that they all have the same timestamp:

{code}
hbase(main):009:0> scan 'table1'  
ROW                          COLUMN+CELL
 row2                        column=fam1:letters, timestamp=1215711498969, value=def 
 row2                        column=fam1:numbers, timestamp=1215711498969, value=123 
 row2                        column=fam2:letters, timestamp=1215711498969, value=abc 
3 row(s) in 0.0600 seconds
{code}

The scanners are losing timestamp information somewhere along the line.","** Comment 1 **
[Comment excluded]

** Comment 2 **
I'm pretty sure it's a Java issue.  I added a debug line to HTable to print out what the scanner returns on a call to next().  Here's the result:
{code}
08/07/10 11:03:22 DEBUG client.HTable$ClientScanner: IZAAK: Scanner output on next is: row=row2, cells={(column=fam1:letters, timestamp=1215711498969, value=[B@1f86b7), (column=fam1:numbers, timestamp=1215711498969, value=[B@c57009), (column=fam2:letters, timestamp=1215711498969, value=[B@3e6b10)}
 row2                        column=fam1:letters, timestamp=1215711498969, value=def 
 row2                        column=fam1:numbers, timestamp=1215711498969, value=123 
 row2                        column=fam2:letters, timestamp=1215711498969, value=abc 
{code}
(scroll over, they all have the same timestamp.)

** Comment 3 **
I've done some investigating into the timestamp discrepancies.  In HRegionServer.next(long), HStoreScanner.next(HStoreKey, Map<byte,byte>) is called once per row to retrieve Cell data for that row.  The HStoreKey contains the name of the row and a *single* timestamp for that row.  When HRegionServer.next() constructs the actual Cell objects for a row, it uses the same single timestamp from the HStoreKey.  This is why the scanners return the same timestamp for every Cell in a row.  
It looks like, in order to fix the problem, the HStoreScanner will have to store more cell information.  Does the HStoreKey even need to store a timestamp if timestamps aren't unique to a row?

** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]
"
HBASE-926,https://issues.apache.org/jira/browse/HBASE-926,https://github.com/apache/hbase/blob/0.18.1/src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,"If no master, regionservers should hang out rather than fail on connection and shut themselves down",YES,"Here is what currently happens if no master:

{code}
08/10/14 18:16:52 INFO metrics.RpcMetrics: Initializing RPC Metrics with hostName=HRegionServer, port=60020
08/10/14 18:16:52 DEBUG regionserver.HRegionServer: Telling master at XX.XX.XX.XX:60000 that we are up
08/10/14 18:16:53 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 0 time(s).
08/10/14 18:16:54 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 1 time(s).
08/10/14 18:16:55 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 2 time(s).
08/10/14 18:16:56 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 3 time(s).
08/10/14 18:16:57 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 4 time(s).
08/10/14 18:16:58 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 5 time(s).
08/10/14 18:16:59 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 6 time(s).
08/10/14 18:17:00 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 7 time(s).
08/10/14 18:17:01 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 8 time(s).
08/10/14 18:17:02 INFO ipc.Client: Retrying connect to server: XX.XX.XX.XX:60000. Already tried 9 time(s).
08/10/14 18:17:02 FATAL regionserver.HRegionServer: Unhandled exception. Aborting...
java.io.IOException: Call failed on local exception
        at org.apache.hadoop.ipc.Client.call(Client.java:718)
        at org.apache.hadoop.hbase.ipc.HbaseRPC$Invoker.invoke(HbaseRPC.java:245)
        at $Proxy0.getProtocolVersion(Unknown Source)
        at org.apache.hadoop.hbase.ipc.HbaseRPC.getProxy(HbaseRPC.java:388)
        at org.apache.hadoop.hbase.ipc.HbaseRPC.getProxy(HbaseRPC.java:364)
        at org.apache.hadoop.hbase.ipc.HbaseRPC.getProxy(HbaseRPC.java:412)
        at org.apache.hadoop.hbase.ipc.HbaseRPC.waitForProxy(HbaseRPC.java:328)
        at org.apache.hadoop.hbase.regionserver.HRegionServer.reportForDuty(HRegionServer.java:711)
        at org.apache.hadoop.hbase.regionserver.HRegionServer.run(HRegionServer.java:290)
        at java.lang.Thread.run(Thread.java:674)
Caused by: java.net.ConnectException: Connection refused
        at sun.nio.ch.SocketChannelImpl.checkConnect(Native Method)
        at sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:592)
        at sun.nio.ch.SocketAdaptor.connect(SocketAdaptor.java:118)
        at org.apache.hadoop.ipc.Client$Connection.setupIOstreams(Client.java:300)
        at org.apache.hadoop.ipc.Client$Connection.access$1700(Client.java:177)
        at org.apache.hadoop.ipc.Client.getConnection(Client.java:789)
        at org.apache.hadoop.ipc.Client.call(Client.java:704)
        ... 9 more
08/10/14 18:17:02 DEBUG hbase.RegionHistorian: Offlined
08/10/14 18:17:02 INFO ipc.Server: Stopping server on 60020
08/10/14 18:17:02 INFO regionserver.HRegionServer: aborting server at: 0.0.0.0:60020
08/10/14 18:17:02 INFO regionserver.HRegionServer: regionserver/0:0:0:0:0:0:0:0:60020 exiting
08/10/14 18:17:02 INFO regionserver.HRegionServer: Starting shutdown thread.
08/10/14 18:17:02 INFO regionserver.HRegionServer: Shutdown thread complete
{code}

Making it a blocker.  Boys at pset need this.","** Comment 1 **
[Comment excluded]

** Comment 2 **
Applied to 0.18.  Psetters need this and it fixed a fail in TestHTable where we were jumping out at head of regionserver startup because no retry of getProtocolVersion.
"
HBASE-1127,https://issues.apache.org/jira/browse/HBASE-1127,https://github.com/apache/hbase/blob/0.19.0/src/java/org/apache/hadoop/hbase/io/BlockFSInputStream.java,OOME running randomRead PE (Disable blanket enabling of blockcache),NO,"Blockcache is misbehaving on TRUNK.  Something is broke.  We OOME about 20% into the randomRead test.  Looking at heap, its all soft references.  Instrumenting the referencequeue, we're never clearing full gc'ing.  Something is off.","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]

** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]
"
HBASE-675,https://issues.apache.org/jira/browse/HBASE-675,https://github.com/apache/hbase/blob/0.19.0/src/java/org/apache/hadoop/hbase/mapred/TableInputFormatBase.java,Report correct server hosting a table split for assignment to for MR Jobs,NO,"Currently we return a null String array to the MR framework to use a random node for MR job assignment.

class: org.apache.hadoop.hbase.mapred.tableSplit
function getLocations()

We should be able to query the meta now for the current host name of the server hosting the region in question.
This will help with scaling as there will be less cross server communication removing bandwidth as a bottleneck.

The side effect of fixing this will help from overloading region servers with lots of MR clients all pulling from the same region server while theres work local for them to do.

","** Comment 1 **
[Comment excluded]

** Comment 2 **
sense the load on MR jobs is on the Region server not the datanode then moveing the task close to the region server would be idea. 
the problem with above is the client/mr task would have to talk to the region server over the network for a request 
then the region server would have to talk back to the data node with the data
and then back to the map task with the returned data.
thats 4 hops for each request.
If the task would run on the same region server as the region was hosted then we would 
just have the region server to the data node hops speeding up each request
Assuming average setup is going to be per server
hadoop datanode
hbase region server
X mapper tasks
x Reducer tasks
Then havening the local task work on the local region server would also help spread the load and help not overloading one region server at once.


** Comment 3 **
[Comment excluded]

** Comment 4 **
I tried this with a couple of hundred regions.  Ran the rowcounter MR job.  No discernible difference.  Might be because I only have 4 nodes each with datanode and regionservers. Perhaps its not enough?  Let me take a look to see that we're giving back info thats wanted.

** Comment 5 **
[Comment excluded]

** Comment 6 **
[Comment excluded]

** Comment 7 **
[Comment excluded]

** Comment 8 **
[Comment excluded]

** Comment 9 **
[Comment excluded]

** Comment 10 **
[Comment excluded]

** Comment 11 **
[Comment excluded]

** Comment 12 **
[Comment excluded]

** Comment 13 **
[Comment excluded]

** Comment 14 **
[Comment excluded]

** Comment 15 **
[Comment excluded]
"
HBASE-1132,https://issues.apache.org/jira/browse/HBASE-1132,https://github.com/apache/hbase/blob/0.19.0/src/java/org/apache/hadoop/hbase/regionserver/LogRoller.java,"Can't append to HLog, can't roll log, infinite cycle (another spin on HBASE-930)",NO,"Saw below loop in Ryan Rawson logs:

{code}
....
2009-01-16 15:32:43,001 INFO org.apache.hadoop.hdfs.DFSClient: Abandoning block blk_-2067415907098101353_164148
2009-01-16 15:32:45,561 INFO org.apache.hadoop.hdfs.DFSClient: Exception in createBlockOutputStream java.io.IOException: Could not read from stream
2009-01-16 15:32:45,561 INFO org.apache.hadoop.hdfs.DFSClient: Abandoning block blk_4699358014912484437_164148
2009-01-16 15:32:49,004 INFO org.apache.hadoop.hdfs.DFSClient: Exception in createBlockOutputStream java.io.IOException: Bad connect ack with firstBadLink 10.10.20.19:50010
2009-01-16 15:32:49,004 INFO org.apache.hadoop.hdfs.DFSClient: Abandoning block blk_-8649135750875451286_164148
2009-01-16 15:32:51,562 WARN org.apache.hadoop.hdfs.DFSClient: DataStreamer Exception: java.io.IOException: Unable to create new block.
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.nextBlockOutputStream(DFSClient.java:2723)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.access$2000(DFSClient.java:1997)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream$DataStreamer.run(DFSClient.java:2183)

2009-01-16 15:32:51,562 WARN org.apache.hadoop.hdfs.DFSClient: Error Recovery for block blk_4699358014912484437_164148 bad datanode[0] nodes == null
2009-01-16 15:32:51,562 WARN org.apache.hadoop.hdfs.DFSClient: Could not get block locations. Aborting...
2009-01-16 15:32:51,562 FATAL org.apache.hadoop.hbase.regionserver.HLog: Could not append. Requesting close of log
java.io.IOException: Could not read from stream
    at org.apache.hadoop.net.SocketInputStream.read(SocketInputStream.java:119)
    at java.io.DataInputStream.readByte(DataInputStream.java:265)
    at org.apache.hadoop.io.WritableUtils.readVLong(WritableUtils.java:325)
    at org.apache.hadoop.io.WritableUtils.readVInt(WritableUtils.java:346)
    at org.apache.hadoop.io.Text.readString(Text.java:400)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.createBlockOutputStream(DFSClient.java:2779)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.nextBlockOutputStream(DFSClient.java:2704)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.access$2000(DFSClient.java:1997)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream$DataStreamer.run(DFSClient.java:2183)
2009-01-16 15:32:51,563 ERROR org.apache.hadoop.hbase.regionserver.LogRoller: Log rolling failed with ioe:
java.io.IOException: Could not read from stream
    at org.apache.hadoop.net.SocketInputStream.read(SocketInputStream.java:119)
    at java.io.DataInputStream.readByte(DataInputStream.java:265)
    at org.apache.hadoop.io.WritableUtils.readVLong(WritableUtils.java:325)
    at org.apache.hadoop.io.WritableUtils.readVInt(WritableUtils.java:346)
    at org.apache.hadoop.io.Text.readString(Text.java:400)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.createBlockOutputStream(DFSClient.java:2779)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.nextBlockOutputStream(DFSClient.java:2704)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.access$2000(DFSClient.java:1997)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream$DataStreamer.run(DFSClient.java:2183)
2009-01-16 15:32:51,564 FATAL org.apache.hadoop.hbase.regionserver.HLog: Could not append. Requesting close of log
java.io.IOException: Could not read from stream
    at org.apache.hadoop.net.SocketInputStream.read(SocketInputStream.java:119)
    at java.io.DataInputStream.readByte(DataInputStream.java:265)
    at org.apache.hadoop.io.WritableUtils.readVLong(WritableUtils.java:325)
    at org.apache.hadoop.io.WritableUtils.readVInt(WritableUtils.java:346)
    at org.apache.hadoop.io.Text.readString(Text.java:400)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.createBlockOutputStream(DFSClient.java:2779)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.nextBlockOutputStream(DFSClient.java:2704)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.access$2000(DFSClient.java:1997)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream$DataStreamer.run(DFSClient.java:2183)
2009-01-16 15:32:51,563 ERROR org.apache.hadoop.hbase.regionserver.HRegionServer: java.io.IOException: Could not read from stream
2009-01-16 15:32:51,564 ERROR org.apache.hadoop.hbase.regionserver.HRegionServer: java.io.IOException: Could not read from stream
2009-01-16 15:32:51,564 FATAL org.apache.hadoop.hbase.regionserver.HLog: Could not append. Requesting close of log
java.io.IOException: Could not read from stream
    at org.apache.hadoop.net.SocketInputStream.read(SocketInputStream.java:119)
    at java.io.DataInputStream.readByte(DataInputStream.java:265)
    at org.apache.hadoop.io.WritableUtils.readVLong(WritableUtils.java:325)
    at org.apache.hadoop.io.WritableUtils.readVInt(WritableUtils.java:346)
    at org.apache.hadoop.io.Text.readString(Text.java:400)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.createBlockOutputStream(DFSClient.java:2779)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.nextBlockOutputStream(DFSClient.java:2704)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream.access$2000(DFSClient.java:1997)
    at org.apache.hadoop.hdfs.DFSClient$DFSOutputStream$DataStreamer.run(DFSClient.java:2183)
...
{code}

For 930, for different exception type, we triggered abort.  Should do same here.  If IOE and ""Can't read from stream"", shut down.    The filesystem check seems to be coming back fine and dandy.",
HBASE-803,https://issues.apache.org/jira/browse/HBASE-803,https://github.com/apache/hbase/blob/0.19.1/src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Atomic increment operations,NO,"Discussion was already started in HBASE-798

First version will contain to additional HTable methods:

incrementColumnValue(table,row,family:column) -> Inserts a new version of the specified column (which must already exist) with an incremented cell value.

incrementFamilyColumn(table,row,family: ) -> Inserts a new column under the specified family.  This assumes the family always contains only one column.  That column is read, incremented, deleted, and a new column is inserted with the incremented column name.  The existing value is re-inserted unchanged to the new column.

I'm going to be making even more specialized versions of these for internal use (taking apart byte[]'s, doing different bit/byte operations, and assorted munging...).  So if anyone has any requests for other specialized versions, or more generic versions, please post them here and I'd be more than happy to take a stab at them.

Next week I will likely have a go at HBASE-493","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]

** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]

** Comment 6 **
[Comment excluded]

** Comment 7 **
[Comment excluded]

** Comment 8 **
[Comment excluded]

** Comment 9 **
[Comment excluded]

** Comment 10 **
[Comment excluded]

** Comment 11 **
Here's a couple of comments on the patch:
Javadoc on new method in HTable is wrong (run ant javadoc and you'll see the warnings).  I'd suggest you remove it.  The correct javadoc in the Interface will shine through when the javadoc tool is run.
The below should probably be DEBUG especially if you are talking of many updates an hour:
+        LOG.info(""Overwriting the memcache value for "" + Bytes.toString(row) + ""/"" + Bytes.toString(column));
Same here:
+          LOG.info(""Using HFile previous value for "" + Bytes.toString(row) + ""/"" + Bytes.toString(column));
,,,,and this:
+        LOG.info(""Creating new counter value for "" + Bytes.toString(row) + ""/""+ Bytes.toString(column));
I don't think this necessary though no harm I suppose:
+      for (int i = 0; i < newvalue.length; ++i)
+        newvalue = 0;
Here, I think  you can add the exception as an extra argument:\
+      IOException io = new IOException(
+          ""Invalid arguments to incrementColumnValue"");
+      io.initCause(npe);
As in, new IOException(""Invalid...."", npe);
I could be wrong on that.  Just FYI.
Your new test is missing an Apache license header.
Otherwise patch is great.  Does it work for you jgray?


** Comment 12 **
[Comment excluded]

** Comment 13 **
[Comment excluded]

** Comment 14 **
Changes HTable method to long to match HRI.  Also changes logging in HRegion to debug level, even one line per increment is noisy for info.
0.19 patch just changes Store back to HStore and RPC version from 15 to 16 (instead of 16 to 17)... What's the right thing to do here?  This is actually a unique RPC version as it's not 15, 16 or 17.

** Comment 15 **
[Comment excluded]

** Comment 16 **
[Comment excluded]

** Comment 17 **
[Comment excluded]

** Comment 18 **
[Comment excluded]

** Comment 19 **
[Comment excluded]
"
HBASE-1233,https://issues.apache.org/jira/browse/HBASE-1233,https://github.com/apache/hbase/blob/0.19.1/src/java/org/apache/hadoop/hbase/regionserver/transactional/TransactionState.java,"Transactional fixes: Overly conservative scan read-set, potential CME",NO,"This patch fixes two issues with the OCC transactions:

- Overly conservative read-set. Previously a scanner was claiming read set on the whole region. This patch gets the read set from the start and end keys that a scanner was opened with (the start key comes from the arg to open, the end key comes from a WhileMatch(StopRow()) filter if present. 

- A potential ConcurrentModificationException.","** Comment 1 **
[Comment excluded]
"
HBASE-1732,https://issues.apache.org/jira/browse/HBASE-1732,https://github.com/apache/hbase/blob/0.20.0/src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Flag to disable regionserver restart,NO,"Add a flag so on zk session expiration, regionserver goes down and doesn't try restarting.","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]

** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]

** Comment 6 **
Restart doesn't work for me either. RS log entries are misleading. They imply that the RS will restart but it does not. I imagine that will come up again and again on hbase-users@.  I think we need a new RC which includes the patch for this issue with abort as default behavior until this is sorted for 0.20.1. 

** Comment 7 **
[Comment excluded]

** Comment 8 **
[Comment excluded]
"
