Issue ID,Issue Link,Git URL,Summary,Summary Relevance,Description,Comments
KAFKA-2792,https://issues.apache.org/jira/browse/KAFKA-2792,https://github.com/apache/kafka/blob/0.9.0.0/clients/src/main/java/org/apache/kafka/clients/consumer/KafkaConsumer.java,KafkaConsumer.close() can block unnecessarily due to leave group waiting for a reply,NO,"The current implementation of close() waits for a response to LeaveGroup. However, if we have an outstanding rebalance in the works, this can cause the close() operation to have to wait for the entire rebalance process to complete, which is annoying since the goal is to get rid of the consumer object anyway. This is at best surprising and at worst can cause unexpected bugs due to close() taking excessively long -- this was found due to exceeding timeouts unexpectedly causing other operations in Kafka Connect to timeout.

Waiting for a response isn't necessary since as soon as the data is in the TCP buffer, it'll be delivered to the broker. The client doesn't benefit at all from seeing the close group. So we can instead just always send the request ","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]

** Comment 4 **
  If we fire-and-forget in the close() call, it will likely lead to an EOF exception on the server side whenever some consumer closes themselves, causing some log pollutions. This is why I was deciding to not do fire-and-forget in close() but only in unsubscribe(). We need to think about if this issue can be resolved in the socket server if we stick to this plan.
"
KAFKA-2691,https://issues.apache.org/jira/browse/KAFKA-2691,https://github.com/apache/kafka/blob/0.9.0.0/clients/src/main/java/org/apache/kafka/clients/producer/KafkaProducer.java,Improve handling of authorization failure during metadata refresh,YES,"There are two problems, one more severe than the other:

1. The consumer blocks indefinitely if there is non-transient authorization failure during metadata refresh due to KAFKA-2391
2. We get a TimeoutException instead of an AuthorizationException in the producer for the same case

If the fix for KAFKA-2391 is to add a timeout, then we will have issue `2` in both producer and consumer.","** Comment 1 **
[Comment excluded]

** Comment 2 **
 To clarify slightly, the indefinite blocking for the consumer occurs when fetching consumer/group metadata, right? I went ahead and patched this in KAFKA-2683, so hopefully this is not an issue anymore. However, we still have the problem that topic metadata authorization errors are only caught and logged by NetworkClient. 

** Comment 3 **
[Comment excluded]

** Comment 4 **
GitHub user hachikuji opened a pull request:
    [link]
    KAFKA-2691: Improve handling of authorization failure during metadata refresh
You can merge this pull request into a Git repository by running:
    $ git pull [link] KAFKA-2691
Alternatively you can review and apply these changes as the patch at:
    [link]
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #394
----
commit 722980095636f8d0f633aa1f40a6aa5736facdbe
Author: Jason Gustafson <jason@confluent.io>
Date:   2015-10-30T23:40:00Z
    KAFKA-2691: Improve handling of authorization failure during metadata refresh
----


** Comment 5 **
[Comment excluded]

** Comment 6 **
[Comment excluded]
"
KAFKA-3659,https://issues.apache.org/jira/browse/KAFKA-3659,https://github.com/apache/kafka/blob/0.10.0.0/clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractCoordinator.java,Consumer does not handle coordinator connection blackout period gracefully,NO,"Currently when the connection to the coordinator is closed, the consumer will immediately try to rediscover the coordinator and reconnect to it. This is fine as it is, but the NetworkClient enforces a blackout period before it will allow the reconnect to be attempted. This causes the following cycle which continues in a fairly tight loop until the blackout period has completed:

1. Notice connection failure (i.e. DISCONNECTED state in ConnectionStates)
2. Send GroupCoordinator request to rediscover coordinator.
3. Attempt to connect to coordinator.
4. Go back to 1.

To fix this, we should avoid rediscovery while the connection is blacked out.","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]
"
KAFKA-3627,https://issues.apache.org/jira/browse/KAFKA-3627,https://github.com/apache/kafka/blob/0.10.0.0/clients/src/main/java/org/apache/kafka/clients/consumer/internals/ConsumerCoordinator.java,New consumer doesn't run delayed tasks while under load,NO,"If the new consumer receives a steady flow of fetch responses it will not run delayed tasks, which means it will not heartbeat or perform automatic offset commits.

The main cause is the code that attempts to pipeline fetch responses and keep the consumer fed.  Specifically, in KafkaConsumer::pollOnce() there is a check that skips calling client.poll() if there are fetched records ready (line 903 in the 0.9.0 branch of this writing).  Then in KafkaConsumer::poll(), if records are returned it will initiate another fetch and perform a quick poll, which will send/receive fetch requests/responses but will not run delayed tasks.

If the timing works out, and the consumer is consistently receiving fetched records, it won't run delayed tasks until it doesn't receive a fetch response during its quick poll.  That leads to a rebalance since the consumer isn't heartbeating, and typically means all the consumed records will be re-delivered since the automatic offset commit wasn't able to run either.

h5. Steps to reproduce
# Start up a cluster with *at least 2 brokers*.  This seems to be required to reproduce the issue, I'm guessing because the fetch responses all arrive together when using a single broker.
# Create a topic with a good number of partitions
#* bq. bin/kafka-topics.sh --zookeeper localhost:2181 --create --topic delayed-task-bug --partitions 10 --replication-factor 1
# Generate some test data so the consumer has plenty to consume.  In this case I'm just using uuids
#* bq. for ((i=0;i<100;++i)) do; cat /proc/sys/kernel/random/uuid >>  /tmp/test-messages; done
#* bq. bin/kafka-console-producer.sh --broker-list localhost:9092 --topic delayed-task-bug < /tmp/test-messages
# Start up a consumer with a small max fetch size to ensure it only pulls a few records at a time.  The consumer can simply sleep for a moment when it receives a record.
#* I'll attach an example in Java
# There's a timing aspect to this issue so it may take a few attempts to reproduce","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
GitHub user hachikuji opened a pull request:
    [link]
    KAFKA-3627: consumer fails to execute delayed tasks in poll when records are available
You can merge this pull request into a Git repository by running:
    $ git pull [link] KAFKA-3627
Alternatively you can review and apply these changes as the patch at:
    [link]
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #1295
----
commit 04116c65369926955d79084851f6dfda313b5fee
Author: Jason Gustafson <jason@confluent.io>
Date:   2016-04-29T21:58:35Z
    KAFKA-3627: consumer fails to execute delayed tasks in poll when records are available
----


** Comment 4 **
I believe this problem is aggravated by max.poll.messages, but since there are timing issues I haven't confirmed.  I can confirm that this is affecting us and that any failure to heartbeat or commit is an extremely serious problem as it can result in a ""rebalance storm"" where no consumers ever make progress.  Unfortunately, we are banking on max.poll.messages to address other rebalance storm problems.

** Comment 5 **
 Yes, you are right. No heartbeats are sent while data has been buffered, which is why I upgraded to blocker. I think the patch is mostly ready to go, but we're looking at some system test failures to see if they could be related. I expect a fix to go into 0.10 in any case.

** Comment 6 **
[Comment excluded]

** Comment 7 **
[Comment excluded]
"
KAFKA-3627,https://issues.apache.org/jira/browse/KAFKA-3627,https://github.com/apache/kafka/blob/0.10.0.0/clients/src/main/java/org/apache/kafka/clients/consumer/internals/Fetcher.java,New consumer doesn't run delayed tasks while under load,NO,"If the new consumer receives a steady flow of fetch responses it will not run delayed tasks, which means it will not heartbeat or perform automatic offset commits.

The main cause is the code that attempts to pipeline fetch responses and keep the consumer fed.  Specifically, in KafkaConsumer::pollOnce() there is a check that skips calling client.poll() if there are fetched records ready (line 903 in the 0.9.0 branch of this writing).  Then in KafkaConsumer::poll(), if records are returned it will initiate another fetch and perform a quick poll, which will send/receive fetch requests/responses but will not run delayed tasks.

If the timing works out, and the consumer is consistently receiving fetched records, it won't run delayed tasks until it doesn't receive a fetch response during its quick poll.  That leads to a rebalance since the consumer isn't heartbeating, and typically means all the consumed records will be re-delivered since the automatic offset commit wasn't able to run either.

h5. Steps to reproduce
# Start up a cluster with *at least 2 brokers*.  This seems to be required to reproduce the issue, I'm guessing because the fetch responses all arrive together when using a single broker.
# Create a topic with a good number of partitions
#* bq. bin/kafka-topics.sh --zookeeper localhost:2181 --create --topic delayed-task-bug --partitions 10 --replication-factor 1
# Generate some test data so the consumer has plenty to consume.  In this case I'm just using uuids
#* bq. for ((i=0;i<100;++i)) do; cat /proc/sys/kernel/random/uuid >>  /tmp/test-messages; done
#* bq. bin/kafka-console-producer.sh --broker-list localhost:9092 --topic delayed-task-bug < /tmp/test-messages
# Start up a consumer with a small max fetch size to ensure it only pulls a few records at a time.  The consumer can simply sleep for a moment when it receives a record.
#* I'll attach an example in Java
# There's a timing aspect to this issue so it may take a few attempts to reproduce","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
GitHub user hachikuji opened a pull request:
    [link]
    KAFKA-3627: consumer fails to execute delayed tasks in poll when records are available
You can merge this pull request into a Git repository by running:
    $ git pull [link] KAFKA-3627
Alternatively you can review and apply these changes as the patch at:
    [link]
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #1295
----
commit 04116c65369926955d79084851f6dfda313b5fee
Author: Jason Gustafson <jason@confluent.io>
Date:   2016-04-29T21:58:35Z
    KAFKA-3627: consumer fails to execute delayed tasks in poll when records are available
----


** Comment 4 **
I believe this problem is aggravated by max.poll.messages, but since there are timing issues I haven't confirmed.  I can confirm that this is affecting us and that any failure to heartbeat or commit is an extremely serious problem as it can result in a ""rebalance storm"" where no consumers ever make progress.  Unfortunately, we are banking on max.poll.messages to address other rebalance storm problems.

** Comment 5 **
 Yes, you are right. No heartbeats are sent while data has been buffered, which is why I upgraded to blocker. I think the patch is mostly ready to go, but we're looking at some system test failures to see if they could be related. I expect a fix to go into 0.10 in any case.

** Comment 6 **
[Comment excluded]

** Comment 7 **
[Comment excluded]
"
KAFKA-5490,https://issues.apache.org/jira/browse/KAFKA-5490,https://github.com/apache/kafka/blob/0.11.0.0/clients/src/main/java/org/apache/kafka/clients/consumer/internals/Fetcher.java,Deletion of tombstones during cleaning should consider idempotent message retention,NO,"The LogCleaner always preserves the message containing last sequence from a given ProducerId when doing a round of cleaning. This is necessary to ensure that the producer is not prematurely evicted which would cause an OutOfOrderSequenceException. The problem with this approach is that the preserved message won't be considered again for cleaning until a new message with the same key is written to the topic. Generally this could result in accumulation of stale entries in the log, but the bigger problem is that the newer entry with the same key could be a tombstone. If we end up deleting this tombstone before a new record with the same key is written, then the old entry will resurface. For example, suppose the following sequence of writes:

1. ProducerId=1, Key=A, Value=1
2. ProducerId=2, Key=A, Value=null (tombstone)

We will preserve the first entry indefinitely until a new record with Key=A is written AND either ProducerId 1 has written a newer record with a larger sequence number or ProducerId 1 becomes expired. As long as the tombstone is preserved, there is no correctness violation: a consumer reading from the beginning will ignore the first entry after reading the tombstone. But it is possible that the tombstone entry will be removed from the log before a new record with Key=A is written. If that happens, then a consumer reading from the beginning would incorrectly observe the overwritten value.","** Comment 1 **
After thinking about this, the cleanest option seems to be to do what we proposed in the original KIP. We remove the record as per the normal cleaning logic, but we retain the batch even if it remains empty. On later cleaning passes, we would remove the empty batches after the producerId had either expired or had appended an entry with a new epoch or sequence. To support this, we would need a slight alteration to the message format semantics to support empty batches. One possibility is to use offsetDelta=-1.
A couple other options that we have considered:
1. We can retain the record, but change the value to null (i.e. make it a tombstone). 
2. We can retain the record, but add a record-level attribute indicating that the entry is pending deletion.
Option 1 is probably off the table since it likely violates existing semantics: a consumer materializing the records into a cache, for example, will see a state which never actually existed if it reads up to the modified record. Option 2 seems viable, but like the option to retain empty batches, it requires a change to message format semantics which would mean likely postponing a fix until 0.11.1 (or whatever major release comes next). The advantage of the empty batch approach is that we preserve existing log cleaner invariants: i.e. no duplicate keys before the dirty point. Also it does not require any attribute use.

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]

** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]

** Comment 6 **
[Comment excluded]
"
KAFKA-5474,https://issues.apache.org/jira/browse/KAFKA-5474,https://github.com/apache/kafka/blob/0.11.0.0/streams/src/main/java/org/apache/kafka/streams/processor/internals/StandbyTask.java,Streams StandbyTask should no checkpoint on commit if EOS is enabled,NO,Discovered by system test {{streams_eos_test#test_failure_and_recovery}},"** Comment 1 **
GitHub user mjsax opened a pull request:
    [link]
    KAFKA-5474: Streams StandbyTask should no checkpoint on commit if EOS is enabled
     - actual fix for `StandbyTask#commit()`
    Additionally (for debugging):
     - EOS test, does not report ""expected"" value correctly
     - `StreamThread` does not report ""standby tasks"" correctly
     - add `IntegerDecoder` (to be use with `kafka.tools.DumpLogSegments`)
You can merge this pull request into a Git repository by running:
    $ git pull [link] kafka-5474-eos-standby-task
Alternatively you can review and apply these changes as the patch at:
    [link]
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #3375
----
commit 89ea5aa85659177907b6ab14abce1a37cb24f21a
Author: Matthias J. Sax <matthias@confluent.io>
Date:   2017-06-19T21:47:48Z
    KAFKA-5474: Streams StandbyTask should no checkpoint on commit if EOS is enabled
commit 2b6349d61c2959c671d3f5157fbc4aa40c0f47d1
Author: Matthias J. Sax <matthias@confluent.io>
Date:   2017-06-19T21:49:28Z
    Debug, cleanup, and minor fixes
----


** Comment 2 **
Failing test is cause by commit [link]#commitcomment-22667101
Closing this issue as invalid. Checkpointing is correct for StandbyTasks with EOS enabled.

** Comment 3 **
[Comment excluded]
"
KAFKA-5446,https://issues.apache.org/jira/browse/KAFKA-5446,https://github.com/apache/kafka/blob/0.11.0.0/streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamTask.java,Annoying braces showed on log.error using streams ,YES,"Hi,
in the stream library seems to be a wrong usage of the log.error method when we want to show an exception. There are useless braces at the end of the line before showing exception information like the following example :

ERROR task [0_0] Could not close task due to {} (org.apache.kafka.streams.processor.internals.StreamTask:414)
org.apache.kafka.clients.consumer.CommitFailedException: Commit cannot be completed since the group has already rebalanced and assigned the partitions to another member. This means that the time between subsequent calls to poll() was longer than the configured max.poll.interval.ms, which typically implies that the poll loop is spending too much time message processing. You can address this either by increasing the session timeout or by reducing the maximum size of batches returned in poll() with max.poll.records.
	at org.apache.kafka.clients.consumer.internals.ConsumerCoordinator.sendOffsetCommitRequest(ConsumerCoordinator.java:725)
	at org.apache.kafka.clients.consumer.internals.ConsumerCoordinator.commitOffsetsSync(ConsumerCoordinator.java:604)
	at org.apache.kafka.clients.consumer.KafkaConsumer.commitSync(KafkaConsumer.java:1146)

as you can see in "".... due to {}"", the braces aren't needed for showing exception info so they are printed.

Thanks,
Paolo.","** Comment 1 **
GitHub user ppatierno opened a pull request:
    [link]
    KAFKA-5446: Annoying braces showed on log.error using streams
    Fixed log.error usage with annoying braces
You can merge this pull request into a Git repository by running:
    $ git pull [link] log-error
Alternatively you can review and apply these changes as the patch at:
    [link]
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #3338
----
commit dcf8308e04663295f9310632dcfc226ea58cd947
Author: ppatierno <ppatierno@live.com>
Date:   2017-06-14T13:35:11Z
    Fixed LOG.error usage with annoying braces
----


** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]
"
KAFKA-5704,https://issues.apache.org/jira/browse/KAFKA-5704,https://github.com/apache/kafka/blob/0.11.0.1/connect/runtime/src/main/java/org/apache/kafka/connect/util/TopicAdmin.java,Auto topic creation causes failure with older clusters,YES,"The new automatic internal topic creation always tries to check the topic and create it if missing. However, older brokers that we should still be compatible with don't support some requests that are used. This results in an UnsupportedVersionException which some of the TopicAdmin code notes that it can throw but then isn't caught in the initializers, causing the entire process to fail.

We should probably just catch it, log a message, and allow things to proceed hoping that the user has already created the topics correctly (as we used to do).","** Comment 1 **
[Comment excluded]

** Comment 2 **
The fix is straightforward:  should log the appropriate message and return an empty set. Then, the initializer in  will complete by doing nothing, and the producer will get the topic metadata that will result in the broker auto-creating the topic if missing and if so configured.

** Comment 3 **
GitHub user rhauch opened a pull request:
    [link]
    KAFKA-5704 Corrected Connect distributed startup behavior to allow older brokers to auto-create topics
    When a Connect distributed worker starts up talking with broker versions 0.10.1.0 and later, it will use the AdminClient to look for the internal topics and attempt to create them if they are missing. Although the AdminClient was added in 0.11.0.0, the AdminClient uses APIs to create topics that existed in 0.10.1.0 and later. This feature works as expected when Connect uses a broker version 0.10.1.0 or later.
    However, when a Connect distributed worker starts up using a broker older than 0.10.1.0, the AdminClient is not able to find the required APIs and thus will throw an UnsupportedVersionException. Unfortunately, this exception is not caught and instead causes the Connect worker to fail even when the topics already exist.
    This change handles the UnsupportedVersionException by logging a debug message and doing nothing. The existing producer logic will get information about the topics, which will cause the broker to create them if they don’t exist and broker auto-creation of topics is enabled. This is the same behavior that existed prior to 0.11.0.0, and so this change restores that behavior for brokers older than 0.10.1.0.
    This change also adds a system test that verifies Connect works with a variety of brokers and is able to run source and sink connectors. The test verifies that Connect can read from the internal topics when the connectors are restarted.
You can merge this pull request into a Git repository by running:
    $ git pull [link] kafka-5704
Alternatively you can review and apply these changes as the patch at:
    [link]
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #3641
----
commit 0d45fd113eeaff3844742181191db2cc508353fd
Author: Randall Hauch <rhauch@gmail.com>
Date:   2017-08-07T19:32:29Z
    KAFKA-5704 Corrected Connect distributed startup behavior to allow older brokers to auto-create topics
    When a Connect distributed worker starts up talking with broker versions 0.10.1.0 and later, it will use the AdminClient to look for the internal topics and attempt to create them if they are missing. Although the AdminClient was added in 0.11.0.0, the AdminClient uses APIs to create topics that existed in 0.10.1.0 and later. This feature works as expected when Connect uses a broker version 0.10.1.0 or later.
    However, when a Connect distributed worker starts up using a broker older than 0.10.1.0, the AdminClient is not able to find the required APIs and thus will throw an UnsupportedVersionException. Unfortunately, this exception is not caught and instead causes the Connect worker to fail even when the topics already exist.
    This change handles the UnsupportedVersionException by logging a debug message and doing nothing. The existing producer logic will get information about the topics, which will cause the broker to create them if they don’t exist and broker auto-creation of topics is enabled. This is the same behavior that existed prior to 0.11.0.0, and so this change restores that behavior for brokers older than 0.10.1.0.
    This change also adds a system test that verifies Connect works with a variety of brokers and is able to run source and sink connectors. The test verifies that Connect can read from the internal topics when the connectors are restarted.
----


** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]
"
KAFKA-5603,https://issues.apache.org/jira/browse/KAFKA-5603,https://github.com/apache/kafka/blob/0.11.0.1/streams/src/main/java/org/apache/kafka/streams/processor/internals/AbstractTask.java,Streams should not abort transaction when closing zombie task,NO,"The contract of the transactional producer API is to not call any transactional method after a {{ProducerFenced}} exception was thrown.

Streams however, does an unconditional call within {{StreamTask#close()}} to {{abortTransaction()}} in case of unclean shutdown. We need to distinguish between a {{ProducerFenced}} and other unclean shutdown cases.","** Comment 1 **
[Comment excluded]

** Comment 2 **
[Comment excluded]

** Comment 3 **
[Comment excluded]

** Comment 4 **
[Comment excluded]

** Comment 5 **
[Comment excluded]

** Comment 6 **
[Comment excluded]
"
